№,файл,ключ,где звучит,на экране,что говорит голос,примечание
1,story.1,story.1,предыстория,Привет. Давай знакомиться.,Привет. Давай знакомиться.,"черновик, утвердить до записи"
2,story.2,story.2,предыстория,Это мой новый дом.,Это мой новый дом.,"черновик, утвердить до записи"
3,story.3,story.3,предыстория,Бабушка Тося живёт далеко.,Бабушка Тося живёт далеко.,"черновик, утвердить до записи"
4,story.4,story.4,предыстория,Каждую неделю шлёт посылку.,Каждую неделю шлёт посылку.,"черновик, утвердить до записи"
5,story.5,story.5,предыстория,В посылке монеты.,В посылке монеты.,"черновик, утвердить до записи"
6,story.6,story.6,предыстория,Монеты нужны на еду.,Монеты нужны на еду.,"черновик, утвердить до записи"
7,story.7,story.7,предыстория,Что-то хочется для радости.,Что-то хочется для радости.,"черновик, утвердить до записи"
8,story.8,story.8,предыстория,А часть кладу в копилку.,А часть кладу в копилку.,"черновик, утвердить до записи"
9,story.9,story.9,предыстория,"А это Кира, соседка.","А это Кира, соседка.","черновик, утвердить до записи"
10,story.10,story.10,предыстория,Скоро у Киры день рождения.,Скоро у Киры день рождения.,"черновик, утвердить до записи"
11,story.11,story.11,предыстория,Хочу её порадовать.,Хочу её порадовать.,"черновик, утвердить до записи"
12,story.12,story.12,предыстория,Поможешь накопить на подарок?,Поможешь накопить на подарок?,"черновик, утвердить до записи"
13,story.13,story.13,предыстория,Сначала выбери мне цвет.,Сначала выбери мне цвет.,"черновик, утвердить до записи"
14,look.color,look.color,внешность,Выбери мне цвет.,Выбери мне цвет.,"новая строка, экран внешности"
15,look.acc,look.acc,внешность,Что мне надеть?,Что мне надеть?,"новая строка, экран внешности"
16,create.nameField,create.nameField,имя,Придумай мне имя.,Придумай мне имя.,
17,goal.title,goal.title,цель,На что копим Кире?,На что копим Кире?,
18,goal.why,goal.why,цель,Скоро день рождения Киры.,Скоро день рождения Киры.,
19,tour.wallet,tour.wallet,знакомство с домом,Тут все твои монеты.,Тут все твои монеты.,"черновик, утвердить до записи"
